Latin Name,Common Name,Type,Color,Bloom Period,Photo
Ipomopsis aggregata,Scarlet Gila,biennials,Red,June-August,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Scarlet_Gilia_%287164605030%29.jpg/640px-Scarlet_Gilia_%287164605030%29.jpg
Allium cernuum,Nodding onion,perennials,Purple,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Allium_cernuum_-_Nodding_Onion_3.jpg/640px-Allium_cernuum_-_Nodding_Onion_3.jpg
Aquilegia formosa,Western Red Columbine,perennials,Red,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Aquilegia_formosa_14962.JPG/640px-Aquilegia_formosa_14962.JPG
Arctostaphylos uva-ursi,Kinnikinnick,perennials,Pink,July-August,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Arctostaphylos_uva-ursi_LC0146.jpg/640px-Arctostaphylos_uva-ursi_LC0146.jpg
Astragalus canadensis,Canada milk vetch,perennials,White,July-August,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Astragalus_canadensis_%285144332268%29.jpg/640px-Astragalus_canadensis_%285144332268%29.jpg
Castilleja elmeri,Elmer's paintbrush,perennials,Red,July-August,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Castilleja_elmeri_7878.JPG/640px-Castilleja_elmeri_7878.JPG
Castilleja hispida,Harsh Indian paintbrush,perennials,Orange,July-August,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Castilleja_hispida_39019.JPG/640px-Castilleja_hispida_39019.JPG
Castilleja miniata,Common red paintbrush,perennials,Orange,July-August,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Castilleja_miniata_close.jpg/640px-Castilleja_miniata_close.jpg
Castilleja raupii,Raup's paintbrush,perennials,Mauve,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Castilleja_raupii.jpg/640px-Castilleja_raupii.jpg
Castilleja rhexiifolia,Alpine paintbrush,perennials,Purple,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Castillejarhexifolia.jpg/640px-Castillejarhexifolia.jpg
Castilleja rupicola,Cliff paintbrush,perennials,Orange,July-August,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Castilleja_rupicola_1.jpg/640px-Castilleja_rupicola_1.jpg
Dicentra formosa,Western Bleeding Heart,perennials,White,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Dicentra_formosa_by_Danny_S._-_001.JPG/640px-Dicentra_formosa_by_Danny_S._-_001.JPG
Epilobium angustifolium,Fireweed,perennials,Purple,June-July,https://en.wikipedia.org/wiki/Chamaenerion_angustifolium#/media/File:Maitohorsma_(Epilobium_angustifolium).JPG
Erythranthe alsinoides,Wingstem Monkey Flower,perennials,Yellow,March-May,https://en.wikipedia.org/wiki/Erythranthe_alsinoides#/media/File:Mimulus_alsinoides_2411.JPG
Erythronium oregonum,White Fawn Lily,perennials,White,April,https://en.wikipedia.org/wiki/Erythronium_oregonum#/media/File:Erythronium_oregonum.jpg
Lilium philadelphicum,Wood Lily,perennials,Red,June-August,https://en.wikipedia.org/wiki/Lilium_philadelphicum#/media/File:Lilium_philadelphicum_var._philadelphicum.jpg
Linnaea borealis,Twinflower,perennials,White,June-July,https://en.wikipedia.org/wiki/Linnaea#/media/File:Linnaea_borealis_1190.JPG
Lupinus arcticus,Arctic Lupin,perennials,Purple,May,https://en.wikipedia.org/wiki/Lupinus_arcticus#/media/File:Lupinus_arcticus.jpg
Lupinus polyphyllus,Large-leaved Lupin,perennials,Purple,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Lupinus_polyphyllus_in_Canterbury_Region_07.jpg/640px-Lupinus_polyphyllus_in_Canterbury_Region_07.jpg
Mimulus lewisii,Pink Monkey Flower,perennials,Purple,July-August,https://en.wikipedia.org/wiki/Erythranthe_lewisii#/media/File:Mimulus_lewisii_8189.JPG
Nothochelone nemorosa,Woodland Beard Tongue,perennials,Purple,June-July,https://en.wikipedia.org/wiki/Nothochelone#/media/File:Nothochelone_nemorosa_0945.JPG
Penstemon albertinus,Alberta penstemon,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Penstemon_albertinus_%2828467312652%29.jpg/640px-Penstemon_albertinus_%2828467312652%29.jpg
Penstemon confertus,Yellow penstemon,perennials,Yellow,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Penstemon_confertus_near_Squilchuck_State_Park_Chelan_County_Washington_1.jpg/640px-Penstemon_confertus_near_Squilchuck_State_Park_Chelan_County_Washington_1.jpg
Penstemon davidsonii,Davidson's penstemon,perennials,Purple,June-July,https://en.wikipedia.org/wiki/Penstemon_davidsonii#/media/File:Penstemon_davidsonii_6271.JPG
Penstemon ellipticus,Oval-leaved penstemon,perennials,Purple,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Penstemon_ellipticus_J01.jpg/640px-Penstemon_ellipticus_J01.jpg
Penstemon eriantherus,Crested beard tongue,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Plants_OB_924_%2838165836164%29.jpg/640px-Plants_OB_924_%2838165836164%29.jpg
Penstemon fruticosus,Shrubsby penstemon,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Penstemon_fructicosus_var._serratus_-_Flickr_-_S._Rae.jpg/640px-Penstemon_fructicosus_var._serratus_-_Flickr_-_S._Rae.jpg
Penstemon gormanii,Gorman's penstemon,perennials,Pink,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Penstemon_gormanii_B01.jpg/640px-Penstemon_gormanii_B01.jpg
Penstemon gracilis,Slender penstemon,perennials,Lilac,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Penstemon_gracilis4.jpg/640px-Penstemon_gracilis4.jpg
Penstemon lyallii,Lyal's penstemon,perennials,Purple,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Penstemon_lyallii_-_Matt_Berger_01.jpg/640px-Penstemon_lyallii_-_Matt_Berger_01.jpg
Penstemon nitidus,Wax-leaved penstemon,perennials,Violet,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Penstemon_nitidus_-_Patrick_Alexander_01.jpg/640px-Penstemon_nitidus_-_Patrick_Alexander_01.jpg
Penstemon ovatus,Broad-leaved penstemon,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Penstemon_ovatus_-_John_A_Haskins_01.jpg/640px-Penstemon_ovatus_-_John_A_Haskins_01.jpg
Penstemon procerus,Small-flowered penstemon,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Penstemon_procerus_21933.JPG/640px-Penstemon_procerus_21933.JPG
Penstemon pruinosus,Chelan penstemon,perennials,Blue,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Penstemon_pruinosus_1.jpg/640px-Penstemon_pruinosus_1.jpg
Penstemon richardsonii,Richardson's penstemon,perennials,Rose Pink,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Penstemon_richardsonii_kz01.jpg/640px-Penstemon_richardsonii_kz01.jpg
Penstemon serrulatus,Coast penstemon,perennials,Lilac,June-August,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Penstemon_serrulatus_IMG_1954.jpg/640px-Penstemon_serrulatus_IMG_1954.jpg
Stachys cooleyae,Cooley's Hedge Nettle,perennials,Purple,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Stachys_cooleyae_1.jpg/640px-Stachys_cooleyae_1.jpg
Holodiscus discolor,Oceanspray,shrubs,White,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Holodiscus_discolor_p1216.jpg/640px-Holodiscus_discolor_p1216.jpg
Lonicera involucrata,Black Twinberry,shrubs,Yellow,April-May,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Lonicera_involucrata_FWS-01.jpg/640px-Lonicera_involucrata_FWS-01.jpg
